increment_code,total_time,initial_time,increment,Speed_Category,Time_ID
5+8,6.733333333333333,5,8,Rapid,630
5+40,14.333333333333332,5,40,Classic,631
5+30,41.0,5,30,Classic,632
5+8,20.2,5,8,Rapid,633
10+7,15.716666666666669,10,7,Rapid,634
10+7,19.45,10,7,Rapid,635
6+5,6.75,6,5,Rapid,636
5+8,18.333333333333336,5,8,Rapid,637
5+8,12.6,5,8,Rapid,638
5+8,24.33333333333333,5,8,Rapid,639
5+8,20.066666666666663,5,8,Rapid,640
5+8,11.133333333333333,5,8,Rapid,641
5+8,13.8,5,8,Rapid,642
5+8,11.8,5,8,Rapid,643
5+8,16.2,5,8,Rapid,644
5+8,11.266666666666666,5,8,Rapid,645
10+8,21.866666666666667,10,8,Rapid,646
10+8,23.866666666666667,10,8,Rapid,647
10+8,16.8,10,8,Rapid,648
10+8,15.866666666666667,10,8,Rapid,649
10+8,24.266666666666666,10,8,Rapid,650
10+8,16.53333333333333,10,8,Rapid,651
10+8,23.333333333333336,10,8,Rapid,652
10+8,24.666666666666664,10,8,Rapid,653
10+8,30.133333333333333,10,8,Rapid,654
10+8,14.0,10,8,Rapid,655
10+8,17.866666666666667,10,8,Rapid,656
10+8,15.733333333333334,10,8,Rapid,657
10+8,21.333333333333336,10,8,Rapid,658
10+8,18.0,10,8,Rapid,659
10+8,20.666666666666664,10,8,Rapid,660
10+8,15.333333333333332,10,8,Rapid,661
10+8,23.6,10,8,Rapid,662
10+8,14.533333333333331,10,8,Rapid,663
10+8,19.6,10,8,Rapid,664
10+8,15.466666666666669,10,8,Rapid,665
10+8,21.2,10,8,Rapid,666
10+8,14.8,10,8,Rapid,667
10+8,33.86666666666667,10,8,Rapid,668
10+8,13.6,10,8,Rapid,669
